exp,myvar,citation
23.33_113.5_c,agb,deng_et_al_2013
23.33_113.5_c,bgb,deng_et_al_2013
39.02_-76.9_c,root_shoot_ratio,ziska_et_al_2004
40.7_-85.72_c,bgb,zak_et_al_1993
40.7_-85.72_c,agb,zak_et_al_1995
47.82_133.67_c,gpp,wang_et_al_2013
aspenface_bp_c,vcmax,uddling_et_al_2009
aspenface_bp_c,vcmax,darbah_et_al_2010b
aspenface_bp_c,asat,darbah_et_al_2010b
aspenface_bp_c,asat,karnosky_et_al_2003
aspenface_bp_c,asat,riikonen_et_al_2008
aspenface_bp_c,asat,uddling_et_al_2009
aspenface_bp_c,leaf_cn,couture_et_al_2012
aspenface_bp_c,leaf_cn,lindroth_et_al_2001
aspenface_bp_c,leaf_cn,parsons_et_al_2004
aspenface_bp_c,leaf_n_mass,agrell_et_al_2005
aspenface_bp_c,leaf_n_mass,couture_et_al_2012
aspenface_bp_c,leaf_n_mass,lindroth_et_al_2001
aspenface_bp_c,leaf_n_mass,parsons_et_al_2004
aspenface_bp_c,leaf_n_mass,zak_et_al_2007a
aspenface_bp_c,leaf_n_area,uddling_et_al_2009
aspenface_bp_c,lai,riikonen_et_al_2008
aspenface_c,asat,monson_et_al_2007
aspenface_c,n_uptake,NA
aspenface_pooled_c,bgb,zak_et_al_2007
aspenface_pt_c,root_production,pregitzer_et_al_2008
aspenface_pt_c,bgb,pregitzer_et_al_2008
aspenface_pt_c,bgb,king_et_al_2005
aspenface_pt_c,bgb,king_et_al_2001
aspenface_pt_c,lai,karnosky_et_al_2003
aspenface_pt_c,lai,finzi_et_al_2007
aspenface_pt_c,lai,riikonen_et_al_2008
aspenface_pt_c,lai,uddling_et_al_2008
aspenface_pt_c,lai,mcgrath_et_al_2010
aspenface_pt_c,lai,noormets_et_al_2010
aspenface_pt_c,asat,noormets_et_al_2001
aspenface_pt_c,asat,calfapietra_et_al_2007
aspenface_pt_c,asat,calfapietra_et_al_2008
aspenface_pt_c,asat,cseke_et_al_2009
aspenface_pt_c,asat,darbah_et_al_2010a
aspenface_pt_c,asat,darbah_et_al_2010b
aspenface_pt_c,asat,karnosky_et_al_2003
aspenface_pt_c,asat,kets_et_al_2010
aspenface_pt_c,asat,noormets_et_al_2010
aspenface_pt_c,asat,riikonen_et_al_2008
aspenface_pt_c,asat,sharma_et_al_2003
aspenface_pt_c,asat,takeuchi_et_al_2001
aspenface_pt_c,asat,taylor_et_al_2007
aspenface_pt_c,asat,uddling_et_al_2009
aspenface_pt_c,vcmax,takeuchi_et_al_2001
aspenface_pt_c,vcmax,uddling_et_al_2009
aspenface_pt_c,vcmax,darbah_et_al_2010a
aspenface_pt_c,vcmax,darbah_et_al_2010b
aspenface_pt_c,vcmax,noormets_et_al_2010
aspenface_pt_c,gpp,noormets_et_al_2001
aspenface_pt_c,leaf_cn,couture_et_al_2012
aspenface_pt_c,leaf_cn,lindroth_et_al_2001
aspenface_pt_c,leaf_n_mass,couture_et_al_2012
aspenface_pt_c,leaf_n_mass,finzi_et_al_2007
aspenface_pt_c,leaf_n_mass,finzi_et_al_2008
aspenface_pt_c,leaf_n_mass,holton_et_al_2003
aspenface_pt_c,leaf_n_mass,kopper_and_lindroth_2003a
aspenface_pt_c,leaf_n_mass,kopper_and_lindroth_2003b
aspenface_pt_c,leaf_n_mass,lindroth_et_al_2001
