exp,myvar,citation,full_reference,X,bibtexkey
40.7_-85.72_c,agb,zak_et_al_1995,zak_d_r_et_al_elevated_atmospheric_co2_and_feedback_between_carbon_and_nitrogen_cycles_plant_soil_151_105-117_1993,NA,@zak_et_al_1995
aspenface_bp_c,vcmax,uddling_et_al_2009,agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588ñ599,NA,@uddling_et_al_2009
aspenface_bp_c,vcmax,darbah_et_al_2010b,darbah_jnt_sharkey_td_calfapietra_c_karnosky_df_2010_differential_response_of_aspen_and_birch_trees_to_heat_stress_under_elevated_carbon_dioxide_environmental_pollution_158:1008ñ1014,NA,@darbah_et_al_2010b
aspenface_bp_c,asat,darbah_et_al_2010b,darbah_jnt_sharkey_td_calfapietra_c_karnosky_df_2010_differential_response_of_aspen_and_birch_trees_to_heat_stress_under_elevated_carbon_dioxide_environmental_pollution_158:1008ñ1014,NA,@darbah_et_al_2010b
aspenface_bp_c,asat,uddling_et_al_2009,agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588ñ599,NA,@uddling_et_al_2009
aspenface_bp_c,leaf_cn,couture_et_al_2012,agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588ñ599,NA,@couture_et_al_2012
aspenface_bp_c,leaf_n_mass,couture_et_al_2012,agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588ñ599,NA,@couture_et_al_2012
aspenface_bp_c,leaf_n_area,uddling_et_al_2009,agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588ñ599,NA,@uddling_et_al_2009
aspenface_c,n_uptake,NA,NA,NA,NA
aspenface_pt_c,bgb,king_et_al_2001,king_j_pregitzer_k_zak_d_sober_j_isebrands_j_dickson_r_hendrey_g_karnosky_d_2001_fine-root_biomass_and_fluxes_of_soil_carbon_in_young_stands_of_paper_birch_and_trembling_aspen_as_affected_by_elevated_atmospheric_co2_and_tropospheric_o3_oecologia_128:237ñ250,NA,@king_et_al_2001
aspenface_pt_c,asat,darbah_et_al_2010b,darbah_jnt_sharkey_td_calfapietra_c_karnosky_df_2010_differential_response_of_aspen_and_birch_trees_to_heat_stress_under_elevated_carbon_dioxide_environmental_pollution_158:1008ñ1014,NA,@darbah_et_al_2010b
aspenface_pt_c,asat,sharma_et_al_2003,sharma_p_sober_a_sober_j_podila_gk_kubiske_me_mattson_wj_isebrands_jg_karnosky_df_2003_moderation_of_[co2]-induced_gas_exchange_responses_by_elevated_tropospheric_o3_in_trembling_aspen_and_sugar_maple_ekologia_22:304ñ317,NA,@sharma_et_al_2003
aspenface_pt_c,asat,taylor_et_al_2007,taylor_g_tallis_mj_giardina_cp_percy_ke_miglietta_f_gupta_ps_gioli_b_calfapietra_c_gielen_b_kubiske_me_scarascia-mugnozza_ge_kets_k_long_sp_karnosky_df_2007_future_atmospheric_co2_leads_to_delayed_autumnal_senescence:_future_co2_delays_autumnal_senescence_in_populus_global_change_biology_14:264ñ275,NA,@taylor_et_al_2007
aspenface_pt_c,asat,uddling_et_al_2009,uddling_j_teclaw_rm_pregitzer_ks_ellsworth_ds_2009_leaf_and_canopy_conductance_in_aspen_and_aspen-birch_forests_under_free-air_enrichment_of_carbon_dioxide_and_ozone_tree_physiol_29:1367ñ1380,NA,@uddling_et_al_2009
aspenface_pt_c,vcmax,uddling_et_al_2009,uddling_j_teclaw_rm_pregitzer_ks_ellsworth_ds_2009_leaf_and_canopy_conductance_in_aspen_and_aspen-birch_forests_under_free-air_enrichment_of_carbon_dioxide_and_ozone_tree_physiol_29:1367ñ1380,NA,@uddling_et_al_2009
