"exp","myvar","citation","full_reference","X","bibtexkey"
"23.33_113.5_c","agb","deng_et_al_2013","deng_q_et_al_seasonal_responses_of_soil_respiration_to_elevated_co2_and_n_addition_in_young_subtropical_forest_ecosystems_in_southern_china_ecol_eng_61_65-73_2013",NA,"@deng_et_al_2013"
"39.02_-76.9_c","root_shoot_ratio","ziska_et_al_2004","ziska_l_h_faulkner_s_and_lydon_j_changes_in_biomass_and_root:shoot_ratio_of_field-grown_canada_thistle_cirsium_arvense_a_noxious_invasive_weed_with_elevated_co2:_implications_for_control_with_glyphosate_weed_sci_52_584-588_2004",NA,"@ziska_et_al_2004"
"40.7_-85.72_c","bgb","zak_et_al_1993","zak_d_r_pregitzer_k_curtis_p_teeri_j_fogel_r_and_randlett_d_1993_elevated_atmospheric_co_z_and_feedback_between_carbon_and_nitrogen_cycles_edited_by_foxit_reader_plant_and_soil_1511_105–117",NA,"@zak_et_al_1993"
"40.7_-85.72_c","agb","zak_et_al_1995","zak_d_r_et_al_elevated_atmospheric_co2_and_feedback_between_carbon_and_nitrogen_cycles_plant_soil_151_105-117_1993",NA,"@zak_et_al_1995"
"47.82_133.67_c","gpp","wang_et_al_2013","wang_g_fahey_t_j_xue_s_and_liu_f_root_morphology_and_architecture_respond_to_n_addition_in_pinus_tabuliformis_west_china_oecologia_171_583-590_2013",NA,"@wang_et_al_2013"
"aspenface_bp_c","vcmax","uddling_et_al_2009","agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588–599",NA,"@uddling_et_al_2009"
"aspenface_bp_c","vcmax","darbah_et_al_2010b","darbah_jnt_sharkey_td_calfapietra_c_karnosky_df_2010_differential_response_of_aspen_and_birch_trees_to_heat_stress_under_elevated_carbon_dioxide_environmental_pollution_158:1008–1014",NA,"@darbah_et_al_2010b"
"aspenface_bp_c","asat","karnosky_et_al_2003","karnosky_df_zak_dr_pregitzer_ks_awmack_cs_bockheim_jg_dickson_re_hendrey_gr_host_ge_king_js_kopper_bj_kruger_el_kubiske_me_lindroth_rl_mattson_wj_mcdonald_ep_noormets_a_oksanen_e_parsons_wfj_percy_ke_podila_gk_riemenschneider_de_sharma_p_thakur_r_sôber_a_sôber_j_jones_ws_anttonen_s_vapaavuori_e_mankovska_b_heilman_w_isebrands_jg_2003_tropospheric_o3_moderates_responses_of_temperate_hardwood_forests_to_elevated_co2:_a_synthesis_of_molecular_to_ecosystem_results_from_the_aspen_face_project_functional_ecology_17:289–304",NA,"@karnosky_et_al_2003"
"aspenface_bp_c","asat","riikonen_et_al_2008","riikonen_j_kets_k_darbah_jnt_oksanen_e_sober_a_vapaavuori_e_kubiske_me_nelson_n_karnosky_df_2008_carbon_gain_and_bud_physiology_in_populus_tremuloides_and_betula_papyrifera_under_long-term_exposure_to_elevated_concentrations_of_co2_and_o3_tree_physiology_28:243–254",NA,"@riikonen_et_al_2008"
"aspenface_bp_c","leaf_cn","couture_et_al_2012","agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588–599",NA,"@couture_et_al_2012"
"aspenface_bp_c","leaf_cn","lindroth_et_al_2001","lindroth_rl_kopper_bj_parsons_wfj_bockheim_jg_karnosky_df_hendrey_gr_pregitzer_ks_isebrands_jg_sober_j_2001_consequences_of_elevated_carbon_dioxide_and_ozone_for_foliar_chemical_composition_and_dynamics_in_trembling_aspen_populus_tremuloides_and_paper_birch_betula_papyrifera_environmental_pollution_115:395–404",NA,"@lindroth_et_al_2001"
"aspenface_bp_c","leaf_cn","parsons_et_al_2004","parsons_wfj_lindroth_rl_bockheim_jg_2004_decomposition_of_betula_papyrifera_leaf_litter_under_the_independent_and_interactive_effects_of_elevated_co2_and_o3_global_change_biology_10:1666–1677",NA,"@parsons_et_al_2004"
"aspenface_bp_c","leaf_n_mass","agrell_et_al_2005","agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588–599",NA,"@agrell_et_al_2005"
